_ - matches - _ - homeTeam - name,_ - matches - _ - awayTeam - name
Aston Villa ,Manchester United 
Manchester City ,Newcastle United 
Arsenal ,Leicester City 
Everton ,Southampton 
Sheffield United ,Wolves
West Ham,Burnley 
Crystal Palace ,Chelsea 
Brighton,Liverpool 
Watford ,Norwich City 
Bournemouth,Spurs
Wolves,Everton 
Aston Villa ,Crystal Palace 
Liverpool ,Burnley 
Spurs ,Arsenal 
Manchester United ,Southampton 
Norwich City ,West Ham 
Sheffield United ,Chelsea 
Brighton,Manchester City 
Watford ,Newcastle United 
Bournemouth,Leicester City 
Manchester City ,Bournemouth
Newcastle United ,Spurs
Arsenal ,Liverpool 
Chelsea ,Norwich City 
Everton ,Aston Villa 
Leicester City ,Sheffield United 
Burnley ,Wolves
West Ham,Watford 
Southampton ,Brighton
Crystal Palace ,Manchester United 
Spurs ,Leicester City 
Manchester United ,West Ham 
Norwich City ,Burnley 
Sheffield United ,Everton 
Brighton,Newcastle United 
Watford ,Manchester City 
Bournemouth,Southampton 
Wolves,Crystal Palace 
Aston Villa ,Arsenal 
Liverpool ,Chelsea 
Manchester City ,Norwich City 
Newcastle United ,Liverpool 
Arsenal ,Watford 
Chelsea ,Wolves
Everton ,Bournemouth
Leicester City ,Manchester United 
Burnley ,Brighton
West Ham,Aston Villa 
Southampton ,Sheffield United 
Crystal Palace ,Spurs
